iter	RMSE
0	25012.26248
1	22358.39839
2	20231.37683
3	18605.32938
4	17257.57306
5	16191.09307
6	15296.17158
7	14464.58537
8	13907.99841
9	13427.35428
10	12997.12886
11	12909.96801
12	12461.39982
13	12203.00704
14	11826.10779
15	11658.24639
16	11593.13609
17	11334.31825
18	11264.11182
19	11180.38347
20	11041.75804
21	10813.89708
22	10516.77204
23	10452.35183
24	10413.21539
25	10344.48627
26	10307.72867
27	10174.13145
28	10122.33706
29	9962.013857
30	9740.466779
31	9600.603115
32	9503.045101
33	9421.570965
34	9289.790319
35	9218.288825
36	9194.041571
37	9169.064715
38	9001.872259
39	8941.922785
40	8806.514892
41	8766.064821
42	8750.171336
43	8648.013179
44	8607.453269
45	8526.618063
46	8506.864687
47	8377.68143
48	8279.544225
49	8206.995527
50	8151.722092
51	8082.447809
52	8062.340322
53	7963.017502
54	7947.420544
55	7886.837066
56	7833.253427
57	7818.198044
58	7773.851952
59	7677.611502
60	7665.120395
61	7640.888004
62	7570.239534
63	7558.805486
64	7530.417523
65	7409.926795
66	7393.582103
67	7383.645107
68	7328.392651
69	7284.588207
70	7259.09672
71	7213.408321
72	7184.17524
73	7175.187965
74	7116.641299
75	7102.016916
76	7093.325523
77	7014.896581
78	7006.767686
79	6962.713323
80	6950.044422
81	6924.152945
82	6916.66488
83	6847.989453
84	6841.048081
85	6788.717766
86	6731.723664
87	6704.017752
88	6689.879265
89	6680.357308
90	6648.112899
91	6641.306941
92	6607.637664
93	6546.962443
94	6495.91744
95	6430.807768
96	6408.953244
97	6348.511472
98	6342.240639
99	6321.825853
100	6288.09312
101	6282.34487
102	6264.87111
103	6254.182742
104	6239.267321
105	6204.038077
106	6198.517937
107	6171.864836
108	6166.645397
109	6136.877822
110	6131.981457
111	6124.803059
112	6085.166997
113	6080.559871
114	6054.4537
115	6029.65347
116	6021.545859
117	6016.711778
118	5963.745372
119	5932.774289
120	5893.749806
121	5886.617714
122	5856.516307
123	5852.183061
124	5838.514749
125	5834.478795
126	5795.899517
127	5792.003598
128	5756.97124
129	5753.232739
130	5733.217394
131	5714.154315
132	5705.69456
133	5699.23747
134	5674.37265
135	5655.514122
136	5651.959363
137	5637.299982
138	5617.258619
139	5611.266479
140	5588.905995
141	5567.612258
142	5562.618618
143	5559.277056
144	5556.094125
145	5551.275654
146	5521.438997
147	5507.126442
148	5495.793995
149	5492.709539
150	5482.295733
151	5448.659263
152	5422.99697
153	5420.062821
154	5415.559309
155	5401.575073
156	5388.122729
157	5385.35709
158	5378.429243
159	5353.236155
160	5350.551893
161	5328.024325
162	5313.673523
163	5302.213539
164	5299.677294
165	5282.391287
166	5268.501548
167	5245.137334
168	5242.746562
169	5231.17175
170	5226.920052
171	5215.34959
172	5213.032727
173	5210.810891
174	5176.123624
175	5165.237789
176	5137.553199
177	5135.359147
178	5112.94842
179	5110.840069
180	5106.470592
181	5102.165618
182	5094.032436
183	5090.009622
184	5088.003562
185	5071.471832
186	5051.251066
187	5049.255292
188	5027.910233
189	5025.989514
190	5023.255415
191	5013.741342
192	5006.168126
193	4970.969327
194	4967.631569
195	4946.336023
196	4944.496188
197	4934.645268
198	4930.921493
199	4923.275969
