iter	Passed	Remaining
0	32	6421
1	67	6647
2	98	6473
3	129	6342
4	158	6167
5	185	5987
6	215	5931
7	243	5853
8	273	5795
9	302	5753
10	331	5699
11	360	5653
12	389	5609
13	419	5570
14	448	5534
15	479	5508
16	508	5477
17	537	5434
18	566	5397
19	595	5363
20	625	5333
21	654	5297
22	683	5262
23	687	5040
24	696	4878
25	725	4855
26	741	4750
27	769	4726
28	797	4701
29	826	4681
30	854	4657
31	882	4631
32	910	4607
33	938	4579
34	967	4562
35	999	4552
36	1039	4578
37	1077	4592
38	1113	4597
39	1146	4584
40	1175	4559
41	1205	4534
42	1234	4506
43	1263	4480
44	1293	4456
45	1322	4426
46	1351	4398
47	1379	4366
48	1406	4335
49	1434	4303
50	1462	4271
51	1490	4241
52	1518	4212
53	1546	4181
54	1574	4150
55	1602	4121
56	1630	4089
57	1657	4058
58	1685	4029
59	1714	3999
60	1741	3967
61	1769	3937
62	1797	3907
63	1825	3880
64	1853	3850
65	1881	3820
66	1909	3791
67	1938	3762
68	1970	3741
69	1999	3713
70	2028	3685
71	2058	3659
72	2088	3632
73	2117	3605
74	2146	3577
75	2174	3547
76	2203	3520
77	2233	3493
78	2263	3466
79	2291	3437
80	2320	3409
81	2349	3381
82	2377	3351
83	2405	3321
84	2432	3291
85	2461	3262
86	2489	3233
87	2517	3203
88	2544	3173
89	2572	3144
90	2601	3115
91	2629	3086
92	2656	3056
93	2685	3028
94	2713	2999
95	2741	2970
96	2769	2941
97	2798	2912
98	2826	2883
99	2853	2853
100	2881	2824
101	2909	2795
102	2937	2766
103	2969	2740
104	3000	2714
105	3037	2693
106	3068	2666
107	3100	2640
108	3131	2614
109	3162	2587
110	3193	2560
111	3222	2531
112	3252	2504
113	3280	2474
114	3309	2445
115	3336	2416
116	3364	2386
117	3392	2357
118	3420	2328
119	3448	2299
120	3476	2269
121	3504	2240
122	3532	2211
123	3561	2183
124	3590	2154
125	3619	2125
126	3647	2096
127	3677	2068
128	3705	2039
129	3733	2010
130	3761	1981
131	3789	1951
132	3817	1922
133	3844	1893
134	3874	1865
135	3901	1836
136	3928	1806
137	3959	1778
138	3989	1750
139	4021	1723
140	4050	1695
141	4081	1667
142	4111	1638
143	4141	1610
144	4171	1582
145	4199	1553
146	4227	1524
147	4256	1495
148	4284	1466
149	4313	1437
150	4341	1408
151	4369	1379
152	4399	1351
153	4429	1322
154	4459	1294
155	4490	1266
156	4520	1238
157	4549	1209
158	4577	1180
159	4605	1151
160	4635	1122
161	4664	1094
162	4692	1065
163	4720	1036
164	4748	1007
165	4776	978
166	4805	949
167	4834	920
168	4863	892
169	4890	863
170	4918	834
171	4947	805
172	4979	777
173	5009	748
174	5040	720
175	5070	691
176	5100	662
177	5130	634
178	5161	605
179	5190	576
180	5220	548
181	5249	519
182	5278	490
183	5306	461
184	5334	432
185	5363	403
186	5390	374
187	5419	345
188	5447	317
189	5476	288
190	5504	259
191	5532	230
192	5560	201
193	5588	172
194	5618	144
195	5646	115
196	5675	86
197	5703	57
198	5732	28
199	5760	0
